"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Total";"CEE FONT DE L'ABELLA";"Educació";"";"0";"67.385";"74.898";"42.415";"15.201";"19.125";"19.879";"20.871";"18.166";"17.984";"10.810";"11.043";"81.978";"5.512";"6.062";"3.462";"1.170";"1.632";"1.747";"1.842";"1.508";"1.525";"1.249";"1.282";"5.041"
"Total";"ESCOLA JOAN BRUGUERA";"Educació";"";"0";"29.890";"9.178";"6.007";"8.416";"11.769";"9.982";"8.504";"8.365";"9.701";"22.976";"23.720";"29.431";"2.726";"1.133";"725";"1.020";"1.430";"1.211";"1.030";"1.014";"1.191";"1.874";"1.843";"2.127"
"Total";"ESCOLA PERICOT BARRACONS";"Educació";"";"0";"14.816";"11.286";"6.531";"1.902";"1.063";"1.866";"1.841";"712";"3.047";"6.162";"10.228";"17.413";"2.409";"1.754";"1.170";"579";"486";"580";"585";"441";"739";"1306";"1.630";"2.674"
"Total";"ESCOLA BALANDRAU";"Educació";"";"0";"7.302";"8.664";"7.466";"0";"373";"3.295";"4096";"8.647";"7.937";"6.422";"6.214";"6.421";"1.120";"1.271";"1.383";"203";"256";"612";"708";"1251";"1161";"996";"964";"996"
"Total";"ESCOLA VERD";"Educació";"";"0";"48.803";"39.909";"15.622";"14.550";"14.925";"14.450";"15.003";"15.475";"15.937";"17.094";"17.896";"18.166";"4.122";"3.367";"1.457";"1.318";"1.316";"1.288";"1.356";"1.432";"1.536";"1.684";"1.828";"1.822"
"Total";"ESCOLA EIXIMENIS";"Educació";"";"0";"17.527";"13.404";"3.117";"2.887";"2.813";"1.425";"1.488";"2.068";"3.616";"7.107";"10.980";"19.302";"1.443";"1.264";"507";"427";"378";"308";"338";"433";"682";"890";"1.134";"1.426"
"Total";"CEE PALAU";"Educació";"";"0";"18.188";"16.601";"15.275";"12.988";"13.260";"13.267";"13.183";"13.210";"14.687";"15.762";"15.409";"15.222";"1.742";"1.551";"1.339";"1.079";"1.096";"1.116";"1.105";"1.077";"1.289";"1.405";"1.368";"1.325"
"Total";"ESCOLA TAIALÀ";"Educació";"";"0";"132.033";"89.885";"25.309";"13.803";"14.228";"15.367";"15.589";"14.153";"18.620";"20.536";"21.961";"91.208";"10.600";"7.026";"2.379";"1.343";"1.386";"1.537";"1.563";"1.377";"1.993";"2.238";"2.385";"5.767"
"Total";"ESCOLA ANNEXA-JOAN PUIGBERT";"Educació";"";"0";"42.173";"24.542";"23.751";"20.375";"20.975";"20.995";"21.883";"21.473";"23.363";"25.240";"25.242";"69.175";"3.583";"2.270";"2.119";"1.716";"1.765";"1.796";"1.879";"1.825";"2.105";"2.308";"2.338";"4.343"
"Total";"ESCOLA MONTFALGARS";"Educació";"";"0";"40.309";"18.080";"16.510";"12.388";"14.383";"14.797";"15.105";"14.112";"17.555";"23.963";"58.239";"58.602";"3.427";"1.877";"1.652";"1.145";"1.372";"1.439";"1.470";"1.338";"1.800";"2.144";"3.534";"3.445"
